company_id,company_name,industry,size_range,hq_location
173,Mack Trucks,Truck Transportation,501-1000,"Greensboro, NC, US"
174,Volvo Construction Equipment,Machinery Manufacturing,1000+,"Eskilstuna, 0, SE"
175,NetApp,Software Development,1000+,"San Jose, California, US"
176,Toyota North America,Motor Vehicle Manufacturing,1000+,"Plano, TX, US"
177,Bain & Company,Business Consulting and Services,1000+,"Boston, MA, US"
178,Avis Budget Group,Travel Arrangements,1000+,"Parsippany, NJ, US"
179,Best Buy,Retail,1000+,"Richfield, Minnesota, US"
180,Pearson,Higher Education,1000+,"London, 0, GB"
181,Infineon Technologies,Semiconductor Manufacturing,1000+,"Neubiberg, München, 0, DE"
182,TEKsystems,IT Services and IT Consulting,1000+,"Hanover, MD, US"
183,Allegis Group,Staffing and Recruiting,1000+,"Hanover, Maryland, US"
184,DuPont,Manufacturing,1000+,"Wilmington, DE, US"
185,Cadence Design Systems,Software Development,1000+,"San Jose, California, US"
186,Cardinal Health,Hospitals and Health Care,1000+,"Dublin, OH, US"
187,"Department for Transport (DfT), United Kingdom",Government Administration,1000+,"London, 0, GB"
188,Chevron,Oil and Gas,1000+,"San Ramon, CA, US"
189,Canon Solutions America,IT Services and IT Consulting,501-1000,"Melville, NY, US"
190,Bosch Security and Safety Systems,"Appliances, Electrical, and Electronics Manufacturing",1000+,"Grasbrunn, DE, DE"
191,LexisNexis,IT Services and IT Consulting,1000+,"New York City, NY, US"
192,MetLife,Insurance,1000+,"New York, NY, US"
193,Halliburton,Oil and Gas,1000+,"Houston, Texas, US"
194,"KBR, Inc.",IT Services and IT Consulting,1000+,"Houston, Texas, US"
195,"Keller Williams Realty, Inc.",Real Estate,1000+,"Austin, TX, US"
196,Novo Nordisk,Pharmaceutical Manufacturing,1000+,"Bagsværd, 0, DK"
197,Danone,Food and Beverage Manufacturing,1000+,"Paris, 0, FR"
198,Johnson Controls,Industrial Machinery Manufacturing,1000+,"Cork, Ireland, IE"
199,Victoria’s Secret & Co.,Retail,1000+,"Columbus, Ohio, US"
200,Bath & Body Works,Retail,1000+,"Columbus, Ohio, US"
201,Spherion,Staffing and Recruiting,1000+,"Atlanta, Georgia, US"
202,Starbucks,Retail,1000+,"Seattle, WA, US"
203,Delta Air Lines,Airlines and Aviation,1000+,"Atlanta, Georgia, US"
204,Genentech,Biotechnology Research,1000+,"South San Francisco, California, US"
205,Flex,"Appliances, Electrical, and Electronics Manufacturing",1000+,"Austin, Texas, US"
206,The Wall Street Journal,Newspaper Publishing,501-1000,"New York, NY, US"
207,Dow Jones,Online Audio and Video Media,501-1000,"New York, NY, US"
208,Insight,IT Services and IT Consulting,1000+,"Chandler, Arizona, US"
209,Kelly,Staffing and Recruiting,1000+,"Troy, Michigan, US"
210,Marriott International,Hospitality,1000+,"Bethesda, MD, US"
211,CBRE,Real Estate,1000+,"Dallas, TX, US"
212,Randstad,Human Resources Services,1000+,"Diemen, Noord-Holland, NL"
213,Schneider Electric,Automation Machinery Manufacturing,1000+,"Rueil Malmaison, Paris, FR"
214,Baxter International Inc.,Medical Equipment Manufacturing,1000+,"Deerfield, Illinois, US"
215,State Farm,Insurance,1000+,"Bloomington, Illinois, US"
216,Dun & Bradstreet,Information Services,501-1000,"Jacksonville, FL, US"
217,Mercer,IT Services and IT Consulting,1000+,"New York, NY, US"
218,Pratt & Whitney,Aviation and Aerospace Component Manufacturing,1000+,"East Hartford, CT, US"
219,Carrier HVAC,Industrial Machinery Manufacturing,1000+,"0, 0, US"
220,Grant Thornton LLP (US),Accounting,501-1000,"Chicago, IL, US"
221,Alstom,Truck Transportation,1000+,"Saint-Ouen, 0, FR"
222,Northwestern Mutual,Financial Services,501-1000,"Milwaukee, WI, US"
223,Hilton,Hospitality,1000+,"McLean, VA, US"
224,Oliver Wyman,Business Consulting and Services,501-1000,"New York, NY, US"
225,Synopsys Inc,Software Development,1000+,"Sunnyvale, California, US"
226,Zurich North America,Insurance,1000+,"Schaumburg, IL, US"
227,Digitas North America,Advertising Services,501-1000,"Boston, Massachusetts, US"
228,The Hartford,Financial Services,1000+,"Hartford, CT, US"
229,UCLA Health,Hospitals and Health Care,1000+,"Los Angeles, CA, US"
230,Children's Hospital Los Angeles (CHLA),Hospitals and Health Care,501-1000,"Los Angeles, CA, US"
231,UCLA,Higher Education,1000+,"Los Angeles, CA, US"
232,Wolters Kluwer,Information Services,1000+,"Alphen aan den Rijn, 0, NL"
233,Bloomberg,Financial Services,1000+,"New York, NY, US"
234,Diageo,Beverage Manufacturing,1000+,"London, 0, GB"
235,Rockwell Automation,Automation Machinery Manufacturing,1000+,"Milwaukee, WI, US"
236,Michigan Medicine,Hospitals and Health Care,1000+,"Ann Arbor, MI, US"
237,University of Michigan,Higher Education,1000+,"Ann Arbor, Michigan, US"
238,U.S. Bank,Banking,1000+,"Minneapolis, MN, US"
239,Experian,Information Services,1000+,"Costa Mesa, CA, US"
240,iHeartMedia,Broadcast Media Production and Distribution,501-1000,"New York, NY, US"
241,Clear Channel Outdoor,Advertising Services,501-1000,"New York, NY, US"
242,Whirlpool Corporation,Manufacturing,1000+,"Benton Harbor, Michigan, US"
243,Dow,Chemical Manufacturing,1000+,"Midland, Michigan, US"
244,Ingram Micro,IT Services and IT Consulting,1000+,"Irvine, CA, US"
